"תחנה","תאריך","טמפרטורת מקסימום (C°)","טמפרטורת מינימום (C°)"
"תל-אביב חוף 04/2005-10/2025","01/01/2010","20","14.8"
"תל-אביב חוף 04/2005-10/2025","02/01/2010","23.5","13.1"
"תל-אביב חוף 04/2005-10/2025","03/01/2010","20.1","14"
"תל-אביב חוף 04/2005-10/2025","04/01/2010","19","14.2"
"תל-אביב חוף 04/2005-10/2025","05/01/2010","18.8","14.9"
"תל-אביב חוף 04/2005-10/2025","06/01/2010","20.9","11.7"
"תל-אביב חוף 04/2005-10/2025","07/01/2010","20.8","11.4"
"תל-אביב חוף 04/2005-10/2025","08/01/2010","21.6","12.6"
"תל-אביב חוף 04/2005-10/2025","09/01/2010","20.7","11.4"
"תל-אביב חוף 04/2005-10/2025","10/01/2010","19.9","11.3"
"תל-אביב חוף 04/2005-10/2025","11/01/2010","20.9","11.8"
"תל-אביב חוף 04/2005-10/2025","12/01/2010","19","13.2"
"תל-אביב חוף 04/2005-10/2025","13/01/2010","19.2","14.4"
"תל-אביב חוף 04/2005-10/2025","14/01/2010","20.4","11.9"
"תל-אביב חוף 04/2005-10/2025","15/01/2010","21.2","12.3"
"תל-אביב חוף 04/2005-10/2025","16/01/2010","21.2","10.8"
"תל-אביב חוף 04/2005-10/2025","17/01/2010","23","12.8"
"תל-אביב חוף 04/2005-10/2025","18/01/2010","20.5","14.2"
"תל-אביב חוף 04/2005-10/2025","19/01/2010","18.3","12.3"
"תל-אביב חוף 04/2005-10/2025","20/01/2010","17.3","13.9"
"תל-אביב חוף 04/2005-10/2025","21/01/2010","16.9","11.5"
"תל-אביב חוף 04/2005-10/2025","22/01/2010","17.6","9"
"תל-אביב חוף 04/2005-10/2025","23/01/2010","19.6","11.8"
"תל-אביב חוף 04/2005-10/2025","24/01/2010","18.1","12.6"
"תל-אביב חוף 04/2005-10/2025","25/01/2010","16.7","12.2"
"תל-אביב חוף 04/2005-10/2025","26/01/2010","15.4","12.4"
"תל-אביב חוף 04/2005-10/2025","27/01/2010","16.3","9.6"
"תל-אביב חוף 04/2005-10/2025","28/01/2010","20.5","8.5"
"תל-אביב חוף 04/2005-10/2025","29/01/2010","23.4","12"
"תל-אביב חוף 04/2005-10/2025","30/01/2010","27.7","15.2"
"תל-אביב חוף 04/2005-10/2025","31/01/2010","24.3","13.6"
"תל-אביב חוף 04/2005-10/2025","01/02/2010","18.3","11.4"
"תל-אביב חוף 04/2005-10/2025","02/02/2010","18.4","9.9"
"תל-אביב חוף 04/2005-10/2025","03/02/2010","17.1","11.4"
"תל-אביב חוף 04/2005-10/2025","04/02/2010","14.4","11.6"
"תל-אביב חוף 04/2005-10/2025","05/02/2010","13.8","10.1"
"תל-אביב חוף 04/2005-10/2025","06/02/2010","14","5.2"
"תל-אביב חוף 04/2005-10/2025","07/02/2010","16.6","6.9"
"תל-אביב חוף 04/2005-10/2025","08/02/2010","19.7","9.9"
"תל-אביב חוף 04/2005-10/2025","09/02/2010","19.1","15.4"
"תל-אביב חוף 04/2005-10/2025","10/02/2010","18.7","11"
"תל-אביב חוף 04/2005-10/2025","11/02/2010","27.6","15.2"
"תל-אביב חוף 04/2005-10/2025","12/02/2010","21.2","16.4"
"תל-אביב חוף 04/2005-10/2025","13/02/2010","22.9","12.9"
"תל-אביב חוף 04/2005-10/2025","14/02/2010","31.8","16"
"תל-אביב חוף 04/2005-10/2025","15/02/2010","25.2","19.9"
"תל-אביב חוף 04/2005-10/2025","16/02/2010","25.5","18.2"
"תל-אביב חוף 04/2005-10/2025","17/02/2010","20.7","16.3"
"תל-אביב חוף 04/2005-10/2025","18/02/2010","28.4","18.4"
"תל-אביב חוף 04/2005-10/2025","19/02/2010","21.5","15.4"
"תל-אביב חוף 04/2005-10/2025","20/02/2010","20.9","13.3"
"תל-אביב חוף 04/2005-10/2025","21/02/2010","31.4","15.2"
"תל-אביב חוף 04/2005-10/2025","22/02/2010","19.2","16.8"
"תל-אביב חוף 04/2005-10/2025","23/02/2010","19.2","14.3"
"תל-אביב חוף 04/2005-10/2025","24/02/2010","18.3","12.9"
"תל-אביב חוף 04/2005-10/2025","25/02/2010","19.8","12.5"
"תל-אביב חוף 04/2005-10/2025","26/02/2010","17.6","11.6"
"תל-אביב חוף 04/2005-10/2025","27/02/2010","17.8","12.4"
"תל-אביב חוף 04/2005-10/2025","28/02/2010","18.4","12.9"
"תל-אביב חוף 04/2005-10/2025","01/03/2010","18.1","15.9"
"תל-אביב חוף 04/2005-10/2025","02/03/2010","20.3","13.6"
"תל-אביב חוף 04/2005-10/2025","03/03/2010","21","15.8"
"תל-אביב חוף 04/2005-10/2025","04/03/2010","18.7","16.5"
"תל-אביב חוף 04/2005-10/2025","05/03/2010","26","13.9"
"תל-אביב חוף 04/2005-10/2025","06/03/2010","20.1","14.5"
"תל-אביב חוף 04/2005-10/2025","07/03/2010","19.4","12.5"
"תל-אביב חוף 04/2005-10/2025","08/03/2010","33","14.6"
"תל-אביב חוף 04/2005-10/2025","09/03/2010","35.8","19.6"
"תל-אביב חוף 04/2005-10/2025","10/03/2010","20.7","17.7"
"תל-אביב חוף 04/2005-10/2025","11/03/2010","33.3","18.7"
"תל-אביב חוף 04/2005-10/2025","12/03/2010","26.9","18.2"
"תל-אביב חוף 04/2005-10/2025","13/03/2010","20.4","16.7"
"תל-אביב חוף 04/2005-10/2025","14/03/2010","29.1","17.4"
"תל-אביב חוף 04/2005-10/2025","15/03/2010","32.5","18.8"
"תל-אביב חוף 04/2005-10/2025","16/03/2010","18.8","16.2"
"תל-אביב חוף 04/2005-10/2025","17/03/2010","17.8","13.8"
"תל-אביב חוף 04/2005-10/2025","18/03/2010","17.5","12.4"
"תל-אביב חוף 04/2005-10/2025","19/03/2010","17.6","10.9"
"תל-אביב חוף 04/2005-10/2025","20/03/2010","18.3","9.9"
"תל-אביב חוף 04/2005-10/2025","21/03/2010","23.3","11.6"
"תל-אביב חוף 04/2005-10/2025","22/03/2010","27.4","15"
"תל-אביב חוף 04/2005-10/2025","23/03/2010","28.4","16.4"
"תל-אביב חוף 04/2005-10/2025","24/03/2010","20","15.1"
"תל-אביב חוף 04/2005-10/2025","25/03/2010","18.7","16.8"
"תל-אביב חוף 04/2005-10/2025","26/03/2010","18.2","13.4"
"תל-אביב חוף 04/2005-10/2025","27/03/2010","18.5","14.2"
"תל-אביב חוף 04/2005-10/2025","28/03/2010","19.3","15.6"
"תל-אביב חוף 04/2005-10/2025","29/03/2010","19.2","16"
"תל-אביב חוף 04/2005-10/2025","30/03/2010","19.2","13.1"
"תל-אביב חוף 04/2005-10/2025","31/03/2010","19.1","11.5"
"תל-אביב חוף 04/2005-10/2025","01/04/2010","21.2","11.8"
"תל-אביב חוף 04/2005-10/2025","02/04/2010","24.1","13.8"
"תל-אביב חוף 04/2005-10/2025","03/04/2010","28.1","17"
"תל-אביב חוף 04/2005-10/2025","04/04/2010","24.2","17.3"
"תל-אביב חוף 04/2005-10/2025","05/04/2010","20.8","15.4"
"תל-אביב חוף 04/2005-10/2025","06/04/2010","20.5","17.7"
"תל-אביב חוף 04/2005-10/2025","07/04/2010","19.8","16.1"
"תל-אביב חוף 04/2005-10/2025","08/04/2010","19.9","15.2"
"תל-אביב חוף 04/2005-10/2025","09/04/2010","19.5","14.9"
"תל-אביב חוף 04/2005-10/2025","10/04/2010","21.8","13.2"
"תל-אביב חוף 04/2005-10/2025","11/04/2010","34.3","19.8"
"תל-אביב חוף 04/2005-10/2025","12/04/2010","19.9","17.4"
"תל-אביב חוף 04/2005-10/2025","13/04/2010","19.8","15.8"
"תל-אביב חוף 04/2005-10/2025","14/04/2010","19.7","14"
"תל-אביב חוף 04/2005-10/2025","15/04/2010","20.3","14"
"תל-אביב חוף 04/2005-10/2025","16/04/2010","20.8","14.4"
"תל-אביב חוף 04/2005-10/2025","17/04/2010","21","18.2"
"תל-אביב חוף 04/2005-10/2025","18/04/2010","22.9","14.4"
"תל-אביב חוף 04/2005-10/2025","19/04/2010","23.2","16.5"
"תל-אביב חוף 04/2005-10/2025","20/04/2010","25.1","19"
"תל-אביב חוף 04/2005-10/2025","21/04/2010","22.6","19"
"תל-אביב חוף 04/2005-10/2025","22/04/2010","20.6","17.1"
"תל-אביב חוף 04/2005-10/2025","23/04/2010","20.8","16.7"
"תל-אביב חוף 04/2005-10/2025","24/04/2010","21.3","14.5"
"תל-אביב חוף 04/2005-10/2025","25/04/2010","22.5","14.4"
"תל-אביב חוף 04/2005-10/2025","26/04/2010","22.2","18"
"תל-אביב חוף 04/2005-10/2025","27/04/2010","24","15.5"
"תל-אביב חוף 04/2005-10/2025","28/04/2010","22.2","19.2"
"תל-אביב חוף 04/2005-10/2025","29/04/2010","21.6","17.1"
"תל-אביב חוף 04/2005-10/2025","30/04/2010","21","17.8"
"תל-אביב חוף 04/2005-10/2025","01/05/2010","21.6","14.8"
"תל-אביב חוף 04/2005-10/2025","02/05/2010","21.2","17.8"
"תל-אביב חוף 04/2005-10/2025","03/05/2010","21.7","16.2"
"תל-אביב חוף 04/2005-10/2025","04/05/2010","22.5","15.1"
"תל-אביב חוף 04/2005-10/2025","05/05/2010","22.4","15.1"
"תל-אביב חוף 04/2005-10/2025","06/05/2010","22.8","14.9"
"תל-אביב חוף 04/2005-10/2025","07/05/2010","23.2","16.3"
"תל-אביב חוף 04/2005-10/2025","08/05/2010","24.1","17.9"
"תל-אביב חוף 04/2005-10/2025","09/05/2010","27.5","18.7"
"תל-אביב חוף 04/2005-10/2025","10/05/2010","34.2","22.1"
"תל-אביב חוף 04/2005-10/2025","11/05/2010","22.8","20.7"
"תל-אביב חוף 04/2005-10/2025","12/05/2010","23.2","17.3"
"תל-אביב חוף 04/2005-10/2025","13/05/2010","23.7","18.7"
"תל-אביב חוף 04/2005-10/2025","14/05/2010","24.9","17.7"
"תל-אביב חוף 04/2005-10/2025","15/05/2010","24.9","19.4"
"תל-אביב חוף 04/2005-10/2025","16/05/2010","26","20.2"
"תל-אביב חוף 04/2005-10/2025","17/05/2010","24.7","21.6"
"תל-אביב חוף 04/2005-10/2025","18/05/2010","23.2","20.7"
"תל-אביב חוף 04/2005-10/2025","19/05/2010","23","20.3"
"תל-אביב חוף 04/2005-10/2025","20/05/2010","23.2","18.6"
"תל-אביב חוף 04/2005-10/2025","21/05/2010","23.4","17.5"
"תל-אביב חוף 04/2005-10/2025","22/05/2010","27.8","18.5"
"תל-אביב חוף 04/2005-10/2025","23/05/2010","23.1","20.7"
"תל-אביב חוף 04/2005-10/2025","24/05/2010","23.1","20.2"
"תל-אביב חוף 04/2005-10/2025","25/05/2010","23.5","17.9"
"תל-אביב חוף 04/2005-10/2025","26/05/2010","25.2","19.5"
"תל-אביב חוף 04/2005-10/2025","27/05/2010","27.6","22.8"
"תל-אביב חוף 04/2005-10/2025","28/05/2010","26.9","21.6"
"תל-אביב חוף 04/2005-10/2025","29/05/2010","24.3","20.9"
"תל-אביב חוף 04/2005-10/2025","30/05/2010","24.7","19.8"
"תל-אביב חוף 04/2005-10/2025","31/05/2010","25.3","19.9"
"תל-אביב חוף 04/2005-10/2025","01/06/2010","26.4","20.8"
"תל-אביב חוף 04/2005-10/2025","02/06/2010","27.9","23.2"
"תל-אביב חוף 04/2005-10/2025","03/06/2010","27.2","22.7"
"תל-אביב חוף 04/2005-10/2025","04/06/2010","25.1","21.6"
"תל-אביב חוף 04/2005-10/2025","05/06/2010","24.9","22.4"
"תל-אביב חוף 04/2005-10/2025","06/06/2010","25.9","20.9"
"תל-אביב חוף 04/2005-10/2025","07/06/2010","26","22.2"
"תל-אביב חוף 04/2005-10/2025","08/06/2010","25.3","22.3"
"תל-אביב חוף 04/2005-10/2025","09/06/2010","25.2","21.9"
"תל-אביב חוף 04/2005-10/2025","10/06/2010","25.7","21"
"תל-אביב חוף 04/2005-10/2025","11/06/2010","27.3","21.5"
"תל-אביב חוף 04/2005-10/2025","12/06/2010","26.3","23.5"
"תל-אביב חוף 04/2005-10/2025","13/06/2010","26.2","23.3"
"תל-אביב חוף 04/2005-10/2025","14/06/2010","26.3","22.4"
"תל-אביב חוף 04/2005-10/2025","15/06/2010","26.5","21.8"
"תל-אביב חוף 04/2005-10/2025","16/06/2010","26.8","22.8"
"תל-אביב חוף 04/2005-10/2025","17/06/2010","27.7","23.5"
"תל-אביב חוף 04/2005-10/2025","18/06/2010","28.1","24.2"
"תל-אביב חוף 04/2005-10/2025","19/06/2010","27.4","22.8"
"תל-אביב חוף 04/2005-10/2025","20/06/2010","29.4","23.8"
"תל-אביב חוף 04/2005-10/2025","21/06/2010","30.6","25.3"
"תל-אביב חוף 04/2005-10/2025","22/06/2010","34","25.8"
"תל-אביב חוף 04/2005-10/2025","23/06/2010","27.2","23.9"
"תל-אביב חוף 04/2005-10/2025","24/06/2010","27","24.3"
"תל-אביב חוף 04/2005-10/2025","25/06/2010","26.6","24"
"תל-אביב חוף 04/2005-10/2025","26/06/2010","26.6","23.4"
"תל-אביב חוף 04/2005-10/2025","27/06/2010","26.9","23.1"
"תל-אביב חוף 04/2005-10/2025","28/06/2010","27.3","20.6"
"תל-אביב חוף 04/2005-10/2025","29/06/2010","29.9","22.6"
"תל-אביב חוף 04/2005-10/2025","30/06/2010","27.1","24.3"
"תל-אביב חוף 04/2005-10/2025","01/07/2010","27","23.7"
"תל-אביב חוף 04/2005-10/2025","02/07/2010","27.3","23.7"
"תל-אביב חוף 04/2005-10/2025","03/07/2010","27.6","23"
"תל-אביב חוף 04/2005-10/2025","04/07/2010","28.1","24.1"
"תל-אביב חוף 04/2005-10/2025","05/07/2010","28.2","24.4"
"תל-אביב חוף 04/2005-10/2025","06/07/2010","28","24.4"
"תל-אביב חוף 04/2005-10/2025","07/07/2010","27.9","22.1"
"תל-אביב חוף 04/2005-10/2025","08/07/2010","28","23.9"
"תל-אביב חוף 04/2005-10/2025","09/07/2010","28","23.3"
"תל-אביב חוף 04/2005-10/2025","10/07/2010","28.4","25.5"
"תל-אביב חוף 04/2005-10/2025","11/07/2010","28.1","25.2"
"תל-אביב חוף 04/2005-10/2025","12/07/2010","28.4","25.6"
"תל-אביב חוף 04/2005-10/2025","13/07/2010","28.4","25.2"
"תל-אביב חוף 04/2005-10/2025","14/07/2010","28.2","24.5"
"תל-אביב חוף 04/2005-10/2025","15/07/2010","28.5","25.8"
"תל-אביב חוף 04/2005-10/2025","16/07/2010","29.2","25.2"
"תל-אביב חוף 04/2005-10/2025","17/07/2010","28.9","24.5"
"תל-אביב חוף 04/2005-10/2025","18/07/2010","28.9","24.7"
"תל-אביב חוף 04/2005-10/2025","19/07/2010","29","25.4"
"תל-אביב חוף 04/2005-10/2025","20/07/2010","28.8","25.2"
"תל-אביב חוף 04/2005-10/2025","21/07/2010","28.8","26"
"תל-אביב חוף 04/2005-10/2025","22/07/2010","29.3","25.5"
"תל-אביב חוף 04/2005-10/2025","23/07/2010","28.7","25.5"
"תל-אביב חוף 04/2005-10/2025","24/07/2010","29.3","26.4"
"תל-אביב חוף 04/2005-10/2025","25/07/2010","29.9","26"
"תל-אביב חוף 04/2005-10/2025","26/07/2010","30.3","25.8"
"תל-אביב חוף 04/2005-10/2025","27/07/2010","29.9","25"
"תל-אביב חוף 04/2005-10/2025","28/07/2010","28.9","26.6"
"תל-אביב חוף 04/2005-10/2025","29/07/2010","29.5","25.7"
"תל-אביב חוף 04/2005-10/2025","30/07/2010","29.4","25.3"
"תל-אביב חוף 04/2005-10/2025","31/07/2010","30.5","27.8"
"תל-אביב חוף 04/2005-10/2025","01/08/2010","30.5","27.8"
"תל-אביב חוף 04/2005-10/2025","02/08/2010","29.8","28"
"תל-אביב חוף 04/2005-10/2025","03/08/2010","29.7","27.7"
"תל-אביב חוף 04/2005-10/2025","04/08/2010","29.5","27"
"תל-אביב חוף 04/2005-10/2025","05/08/2010","31.1","25.6"
"תל-אביב חוף 04/2005-10/2025","06/08/2010","31.3","25.2"
"תל-אביב חוף 04/2005-10/2025","07/08/2010","31.2","26.2"
"תל-אביב חוף 04/2005-10/2025","08/08/2010","30","27.6"
"תל-אביב חוף 04/2005-10/2025","09/08/2010","29.8","26.7"
"תל-אביב חוף 04/2005-10/2025","10/08/2010","29.9","26.3"
"תל-אביב חוף 04/2005-10/2025","11/08/2010","30","26"
"תל-אביב חוף 04/2005-10/2025","12/08/2010","30.5","27.2"
"תל-אביב חוף 04/2005-10/2025","13/08/2010","30.3","26.7"
"תל-אביב חוף 04/2005-10/2025","14/08/2010","30.6","26.6"
"תל-אביב חוף 04/2005-10/2025","15/08/2010","30.5","27.8"
"תל-אביב חוף 04/2005-10/2025","16/08/2010","30.7","27.6"
"תל-אביב חוף 04/2005-10/2025","17/08/2010","30.8","26.9"
"תל-אביב חוף 04/2005-10/2025","18/08/2010","31","26.7"
"תל-אביב חוף 04/2005-10/2025","19/08/2010","31.1","26.5"
"תל-אביב חוף 04/2005-10/2025","20/08/2010","32.2","27.7"
"תל-אביב חוף 04/2005-10/2025","21/08/2010","30.6","28.2"
"תל-אביב חוף 04/2005-10/2025","22/08/2010","30.8","27"
"תל-אביב חוף 04/2005-10/2025","23/08/2010","31","26.3"
"תל-אביב חוף 04/2005-10/2025","24/08/2010","31.2","27.2"
"תל-אביב חוף 04/2005-10/2025","25/08/2010","30.5","27.4"
"תל-אביב חוף 04/2005-10/2025","26/08/2010","30.3","27"
"תל-אביב חוף 04/2005-10/2025","27/08/2010","30.5","25.4"
"תל-אביב חוף 04/2005-10/2025","28/08/2010","30.5","26"
"תל-אביב חוף 04/2005-10/2025","29/08/2010","30.3","25.1"
"תל-אביב חוף 04/2005-10/2025","30/08/2010","30.3","25.7"
"תל-אביב חוף 04/2005-10/2025","31/08/2010","30","26.8"
"תל-אביב חוף 04/2005-10/2025","01/09/2010","29.8","26"
"תל-אביב חוף 04/2005-10/2025","02/09/2010","30.3","26.5"
"תל-אביב חוף 04/2005-10/2025","03/09/2010","30.5","25.3"
"תל-אביב חוף 04/2005-10/2025","04/09/2010","30","23.7"
"תל-אביב חוף 04/2005-10/2025","05/09/2010","29.8","27.1"
"תל-אביב חוף 04/2005-10/2025","06/09/2010","29.6","24.8"
"תל-אביב חוף 04/2005-10/2025","07/09/2010","30.4","26.3"
"תל-אביב חוף 04/2005-10/2025","08/09/2010","29.4","26.6"
"תל-אביב חוף 04/2005-10/2025","09/09/2010","29.1","23.4"
"תל-אביב חוף 04/2005-10/2025","10/09/2010","29.6","24.3"
"תל-אביב חוף 04/2005-10/2025","11/09/2010","30","25"
"תל-אביב חוף 04/2005-10/2025","12/09/2010","29.4","26.9"
"תל-אביב חוף 04/2005-10/2025","13/09/2010","29.3","26.1"
"תל-אביב חוף 04/2005-10/2025","14/09/2010","28.8","26.4"
"תל-אביב חוף 04/2005-10/2025","15/09/2010","28.7","22.9"
"תל-אביב חוף 04/2005-10/2025","16/09/2010","29.4","25.3"
"תל-אביב חוף 04/2005-10/2025","17/09/2010","28.1","26.6"
"תל-אביב חוף 04/2005-10/2025","18/09/2010","28.2","25.1"
"תל-אביב חוף 04/2005-10/2025","19/09/2010","28.8","22.8"
"תל-אביב חוף 04/2005-10/2025","20/09/2010","29.6","23.7"
"תל-אביב חוף 04/2005-10/2025","21/09/2010","29.7","26.1"
"תל-אביב חוף 04/2005-10/2025","22/09/2010","29.7","24.9"
"תל-אביב חוף 04/2005-10/2025","23/09/2010","29.8","25.9"
"תל-אביב חוף 04/2005-10/2025","24/09/2010","29.3","25.3"
"תל-אביב חוף 04/2005-10/2025","25/09/2010","29.6","27.4"
"תל-אביב חוף 04/2005-10/2025","26/09/2010","29.1","24.9"
"תל-אביב חוף 04/2005-10/2025","27/09/2010","29.6","24.5"
"תל-אביב חוף 04/2005-10/2025","28/09/2010","29.4","24.8"
"תל-אביב חוף 04/2005-10/2025","29/09/2010","28.9","23.2"
"תל-אביב חוף 04/2005-10/2025","30/09/2010","29.3","24.1"
"תל-אביב חוף 04/2005-10/2025","01/10/2010","30.4","24.2"
"תל-אביב חוף 04/2005-10/2025","02/10/2010","30.8","25.7"
"תל-אביב חוף 04/2005-10/2025","03/10/2010","30.1","24.5"
"תל-אביב חוף 04/2005-10/2025","04/10/2010","28.6","24.2"
"תל-אביב חוף 04/2005-10/2025","05/10/2010","27.5","23.1"
"תל-אביב חוף 04/2005-10/2025","06/10/2010","27.4","21.4"
"תל-אביב חוף 04/2005-10/2025","07/10/2010","27.2","21.2"
"תל-אביב חוף 04/2005-10/2025","08/10/2010","27.3","21.7"
"תל-אביב חוף 04/2005-10/2025","09/10/2010","26.4","23"
"תל-אביב חוף 04/2005-10/2025","10/10/2010","26.4","19.8"
"תל-אביב חוף 04/2005-10/2025","11/10/2010","26.5","22.8"
"תל-אביב חוף 04/2005-10/2025","12/10/2010","26.4","20"
"תל-אביב חוף 04/2005-10/2025","13/10/2010","27.4","20.8"
"תל-אביב חוף 04/2005-10/2025","14/10/2010","31.1","22"
"תל-אביב חוף 04/2005-10/2025","15/10/2010","31.6","24.2"
"תל-אביב חוף 04/2005-10/2025","16/10/2010","29.2","23.7"
"תל-אביב חוף 04/2005-10/2025","17/10/2010","27.9","24.9"
"תל-אביב חוף 04/2005-10/2025","18/10/2010","27.9","21.3"
"תל-אביב חוף 04/2005-10/2025","19/10/2010","30.7","21.8"
"תל-אביב חוף 04/2005-10/2025","20/10/2010","39.5","24.3"
"תל-אביב חוף 04/2005-10/2025","21/10/2010","28.8","24.1"
"תל-אביב חוף 04/2005-10/2025","22/10/2010","26.5","24.7"
"תל-אביב חוף 04/2005-10/2025","23/10/2010","26.1","23.7"
"תל-אביב חוף 04/2005-10/2025","24/10/2010","25.9","20"
"תל-אביב חוף 04/2005-10/2025","25/10/2010","26","20.6"
"תל-אביב חוף 04/2005-10/2025","26/10/2010","25.8","19.6"
"תל-אביב חוף 04/2005-10/2025","27/10/2010","26","20"
"תל-אביב חוף 04/2005-10/2025","28/10/2010","28.5","19.9"
"תל-אביב חוף 04/2005-10/2025","29/10/2010","27.8","23.9"
"תל-אביב חוף 04/2005-10/2025","30/10/2010","24.5","21.7"
"תל-אביב חוף 04/2005-10/2025","31/10/2010","25.5","20.3"
"תל-אביב חוף 04/2005-10/2025","01/11/2010","25.9","18.7"
"תל-אביב חוף 04/2005-10/2025","02/11/2010","25.8","18"
"תל-אביב חוף 04/2005-10/2025","03/11/2010","30.9","18.6"
"תל-אביב חוף 04/2005-10/2025","04/11/2010","33","23.9"
"תל-אביב חוף 04/2005-10/2025","05/11/2010","28.9","22.5"
"תל-אביב חוף 04/2005-10/2025","06/11/2010","26","18.7"
"תל-אביב חוף 04/2005-10/2025","07/11/2010","24.7","17.6"
"תל-אביב חוף 04/2005-10/2025","08/11/2010","24.1","17"
"תל-אביב חוף 04/2005-10/2025","09/11/2010","25.6","15.5"
"תל-אביב חוף 04/2005-10/2025","10/11/2010","26.3","18"
"תל-אביב חוף 04/2005-10/2025","11/11/2010","24.7","18.6"
"תל-אביב חוף 04/2005-10/2025","12/11/2010","25","20.4"
"תל-אביב חוף 04/2005-10/2025","13/11/2010","25.3","19.3"
"תל-אביב חוף 04/2005-10/2025","14/11/2010","30.6","19"
"תל-אביב חוף 04/2005-10/2025","15/11/2010","28.3","20.2"
"תל-אביב חוף 04/2005-10/2025","16/11/2010","25.5","19.5"
"תל-אביב חוף 04/2005-10/2025","17/11/2010","24.8","19.8"
"תל-אביב חוף 04/2005-10/2025","18/11/2010","25","18.9"
"תל-אביב חוף 04/2005-10/2025","19/11/2010","25.4","18.1"
"תל-אביב חוף 04/2005-10/2025","20/11/2010","25.6","17"
"תל-אביב חוף 04/2005-10/2025","21/11/2010","24.3","18.9"
"תל-אביב חוף 04/2005-10/2025","22/11/2010","24.4","20.5"
"תל-אביב חוף 04/2005-10/2025","23/11/2010","23.5","16.4"
"תל-אביב חוף 04/2005-10/2025","24/11/2010","23.1","15.1"
"תל-אביב חוף 04/2005-10/2025","25/11/2010","23.6","14.8"
"תל-אביב חוף 04/2005-10/2025","26/11/2010","24.2","14.2"
"תל-אביב חוף 04/2005-10/2025","27/11/2010","25.3","14.4"
"תל-אביב חוף 04/2005-10/2025","28/11/2010","25.5","14.6"
"תל-אביב חוף 04/2005-10/2025","29/11/2010","25","16"
"תל-אביב חוף 04/2005-10/2025","30/11/2010","25.8","15.7"
"תל-אביב חוף 04/2005-10/2025","01/12/2010","24.3","13.8"
"תל-אביב חוף 04/2005-10/2025","02/12/2010","24.8","13.2"
"תל-אביב חוף 04/2005-10/2025","03/12/2010","26.1","13.5"
"תל-אביב חוף 04/2005-10/2025","04/12/2010","24.9","13.8"
"תל-אביב חוף 04/2005-10/2025","05/12/2010","23.2","12.9"
"תל-אביב חוף 04/2005-10/2025","06/12/2010","21.2","17.5"
"תל-אביב חוף 04/2005-10/2025","07/12/2010","21.8","15.7"
"תל-אביב חוף 04/2005-10/2025","08/12/2010","22.5","14.8"
"תל-אביב חוף 04/2005-10/2025","09/12/2010","22.9","14.8"
"תל-אביב חוף 04/2005-10/2025","10/12/2010","22.1","14.5"
"תל-אביב חוף 04/2005-10/2025","11/12/2010","21.5","16.3"
"תל-אביב חוף 04/2005-10/2025","12/12/2010","18.7","9.5"
"תל-אביב חוף 04/2005-10/2025","13/12/2010","18","9.4"
"תל-אביב חוף 04/2005-10/2025","14/12/2010","19.9","11"
"תל-אביב חוף 04/2005-10/2025","15/12/2010","21.3","9.9"
"תל-אביב חוף 04/2005-10/2025","16/12/2010","23.1","12.4"
"תל-אביב חוף 04/2005-10/2025","17/12/2010","22.7","13.2"
"תל-אביב חוף 04/2005-10/2025","18/12/2010","21.3","14"
"תל-אביב חוף 04/2005-10/2025","19/12/2010","19.5","11.2"
"תל-אביב חוף 04/2005-10/2025","20/12/2010","21.5","13.6"
"תל-אביב חוף 04/2005-10/2025","21/12/2010","24.5","13.5"
"תל-אביב חוף 04/2005-10/2025","22/12/2010","21.7","13.6"
"תל-אביב חוף 04/2005-10/2025","23/12/2010","20.4","11.9"
"תל-אביב חוף 04/2005-10/2025","24/12/2010","20","13"
"תל-אביב חוף 04/2005-10/2025","25/12/2010","20.5","12.2"
"תל-אביב חוף 04/2005-10/2025","26/12/2010","22.1","10.8"
"תל-אביב חוף 04/2005-10/2025","27/12/2010","27","13.7"
"תל-אביב חוף 04/2005-10/2025","28/12/2010","27.1","18.2"
"תל-אביב חוף 04/2005-10/2025","29/12/2010","21.7","18.6"
"תל-אביב חוף 04/2005-10/2025","30/12/2010","21.5","16.5"
"תל-אביב חוף 04/2005-10/2025","31/12/2010","19.9","14.7"
"תל-אביב חוף 04/2005-10/2025","01/01/2011","19.1","15.2"
"תל-אביב חוף 04/2005-10/2025","02/01/2011","19.6","13.8"
"תל-אביב חוף 04/2005-10/2025","03/01/2011","19.9","11.5"
"תל-אביב חוף 04/2005-10/2025","04/01/2011","18.7","13.3"
"תל-אביב חוף 04/2005-10/2025","05/01/2011","18.5","12.3"
"תל-אביב חוף 04/2005-10/2025","06/01/2011","18.9","12.4"
"תל-אביב חוף 04/2005-10/2025","07/01/2011","19.1","10.8"
"תל-אביב חוף 04/2005-10/2025","08/01/2011","17","12"
"תל-אביב חוף 04/2005-10/2025","09/01/2011","17.9","11"
"תל-אביב חוף 04/2005-10/2025","10/01/2011","18.1","11.8"
"תל-אביב חוף 04/2005-10/2025","11/01/2011","18.7","11.6"
"תל-אביב חוף 04/2005-10/2025","12/01/2011","22","11.8"
"תל-אביב חוף 04/2005-10/2025","13/01/2011","21.8","14.3"
"תל-אביב חוף 04/2005-10/2025","14/01/2011","19.6","10.7"
"תל-אביב חוף 04/2005-10/2025","15/01/2011","16.5","10.6"
"תל-אביב חוף 04/2005-10/2025","16/01/2011","16.8","11"
